attack_type,security_tools_used,industry
Phishing,MFA,Technology
Credential Stuffing,Account Lockout,Government
DDoS,WAF,Healthcare
Phishing,DMARC,Energy
Phishing,DMARC,Manufacturing
Phishing,DMARC,Retail
Brute Force,Account Lockout,Education
Phishing,MFA,Manufacturing
Ransomware,EDR,Finance
Malware,EDR,Retail
Ransomware,Antivirus,Manufacturing
Ransomware,SIEM,Finance
Zero-Day Exploit,EDR,Healthcare
DDoS,WAF,Government
Supply Chain Compromise,SIEM,Finance
Ransomware,Offline Backups,Technology
Ransomware,Antivirus,Government
SQL Injection,WAF,Government
DDoS,DDoS Mitigation,Healthcare
Cross-Site Scripting,WAF,Manufacturing
Brute Force,Account Lockout,Healthcare
Ransomware,EDR,Education
Phishing,MFA,Technology
Malware,EDR,Healthcare
Credential Stuffing,SIEM,Technology
Credential Stuffing,MFA,Technology
Phishing,MFA,Technology
Ransomware,Offline Backups,Technology
Phishing,Email Filtering,Healthcare
Phishing,MFA,Healthcare
Ransomware,Antivirus,Government
SQL Injection,WAF,Retail
Ransomware,Antivirus,Retail
Credential Stuffing,MFA,Manufacturing
Phishing,MFA,Utilities
SQL Injection,WAF,Manufacturing
Phishing,Email Filtering,Retail
DDoS,Firewall,Government
Phishing,MFA,Healthcare
Ransomware,EDR,Manufacturing
Phishing,Email Filtering,Government
Phishing,DMARC,Finance
Credential Stuffing,Account Lockout,Transportation
Ransomware,Antivirus,Government
Ransomware,Offline Backups,Education
Ransomware,Offline Backups,Retail
Credential Stuffing,MFA,Finance
Phishing,Email Filtering,Transportation
Insider Threat,EDR,Energy
Cross-Site Scripting,WAF,Manufacturing
Business Email Compromise,DMARC,Finance
Malware,Antivirus,Manufacturing
Cross-Site Scripting,WAF,Transportation
Zero-Day Exploit,SIEM,Retail
Ransomware,EDR,Technology
Brute Force,Account Lockout,Transportation
SQL Injection,Database Firewall,Healthcare
Credential Stuffing,Account Lockout,Technology
Malware,Antivirus,Technology
Ransomware,Antivirus,Manufacturing
Phishing,MFA,Manufacturing
Malware,Antivirus,Finance
Insider Threat,SIEM,Manufacturing
Brute Force,SIEM,Transportation
Phishing,Email Filtering,Healthcare
Business Email Compromise,MFA,Healthcare
Phishing,Email Filtering,Manufacturing
Phishing,DMARC,Technology
Credential Stuffing,MFA,Retail
Phishing,IDS,Transportation
DDoS,DDoS Mitigation,Manufacturing
Ransomware,Antivirus,Manufacturing
Cross-Site Scripting,Content Security Policy,Manufacturing
Ransomware,EDR,Finance
Brute Force,Account Lockout,Manufacturing
Phishing,Email Filtering,Manufacturing
Ransomware,SIEM,Government
Ransomware,Offline Backups,Government
Credential Stuffing,Account Lockout,Healthcare
SQL Injection,Database Firewall,Finance
SQL Injection,WAF,Government
Malware,Antivirus,Manufacturing
Malware,EDR,Retail
Malware,Antivirus,Healthcare
Malware,IDS,Technology
Credential Stuffing,Account Lockout,Technology
Ransomware,EDR,Retail
Phishing,Email Filtering,Technology
SQL Injection,WAF,Government
Brute Force,Account Lockout,Healthcare
Credential Stuffing,MFA,Finance
Business Email Compromise,Email Filtering,Education
DDoS,Firewall,Technology
Credential Stuffing,Account Lockout,Finance
Brute Force,Account Lockout,Retail
Malware,EDR,Education
Ransomware,EDR,Retail
Malware,EDR,Finance
Business Email Compromise,Email Filtering,Energy
Credential Stuffing,SIEM,Utilities
Malware,Antivirus,Education
Malware,Antivirus,Manufacturing
Business Email Compromise,DMARC,Retail
Phishing,Email Filtering,Healthcare
SQL Injection,WAF,Technology
DDoS,DDoS Mitigation,Retail
Phishing,Email Filtering,Manufacturing
DDoS,CDN Scrubbing,Retail
SQL Injection,Database Firewall,Healthcare
DDoS,DDoS Mitigation,Energy
Ransomware,SIEM,Technology
DDoS,DDoS Mitigation,Manufacturing
Phishing,Email Filtering,Finance
Credential Stuffing,MFA,Government
Ransomware,EDR,Finance
Ransomware,Offline Backups,Government
Credential Stuffing,Account Lockout,Energy
Business Email Compromise,DMARC,Manufacturing
Brute Force,Account Lockout,Manufacturing
Cross-Site Scripting,Content Security Policy,Healthcare
SQL Injection,SIEM,Healthcare
Ransomware,Antivirus,Finance
Ransomware,EDR,Healthcare
Malware,EDR,Technology
DDoS,Firewall,Technology
DDoS,CDN Scrubbing,Finance
DDoS,CDN Scrubbing,Utilities
SQL Injection,Database Firewall,Retail
DDoS,DDoS Mitigation,Healthcare
Brute Force,MFA,Technology
Credential Stuffing,SIEM,Manufacturing
Zero-Day Exploit,EDR,Technology
Malware,IDS,Finance
Business Email Compromise,MFA,Transportation
Ransomware,EDR,Healthcare
Phishing,MFA,Healthcare
Ransomware,Offline Backups,Manufacturing
Zero-Day Exploit,IDS,Finance
Ransomware,EDR,Utilities
SQL Injection,Database Firewall,Technology
DDoS,DDoS Mitigation,Finance
Phishing,Email Filtering,Manufacturing
Business Email Compromise,Email Filtering,Finance
Ransomware,EDR,Healthcare
Zero-Day Exploit,IDS,Manufacturing
Credential Stuffing,MFA,Retail
Phishing,MFA,Manufacturing
DDoS,CDN Scrubbing,Manufacturing
Cross-Site Scripting,WAF,Healthcare
Ransomware,Offline Backups,Manufacturing
DDoS,CDN Scrubbing,Retail
Phishing,Email Filtering,Healthcare
DDoS,CDN Scrubbing,Retail
Phishing,MFA,Finance
Phishing,Email Filtering,Technology
Credential Stuffing,IDS,Manufacturing
Malware,EDR,Retail
Cross-Site Scripting,Content Security Policy,Finance
Ransomware,Offline Backups,Government
Ransomware,Antivirus,Finance
DDoS,DDoS Mitigation,Energy
Business Email Compromise,DMARC,Finance
Supply Chain Compromise,IDS,Energy
Credential Stuffing,MFA,Finance
DDoS,CDN Scrubbing,Transportation
Insider Threat,Account Lockout,Energy
DDoS,Firewall,Healthcare
Phishing,MFA,Government
DDoS,Firewall,Manufacturing
Phishing,MFA,Education
Brute Force,Account Lockout,Healthcare
Malware,IDS,Technology
Brute Force,SIEM,Manufacturing
SQL Injection,WAF,Energy
Credential Stuffing,MFA,Transportation
Cross-Site Scripting,WAF,Technology
DDoS,DDoS Mitigation,Manufacturing
DDoS,DDoS Mitigation,Retail
Brute Force,Account Lockout,Healthcare
Ransomware,Offline Backups,Transportation
Business Email Compromise,MFA,Healthcare
Ransomware,Offline Backups,Finance
Phishing,MFA,Manufacturing
DDoS,CDN Scrubbing,Utilities
Phishing,MFA,Finance
DDoS,DDoS Mitigation,Utilities
Credential Stuffing,IDS,Healthcare
Malware,SIEM,Finance
Zero-Day Exploit,SIEM,Manufacturing
Supply Chain Compromise,SIEM,Government
Credential Stuffing,SIEM,Manufacturing
Phishing,Email Filtering,Technology
Malware,Antivirus,Retail
Credential Stuffing,Account Lockout,Manufacturing
DDoS,DDoS Mitigation,Government
Credential Stuffing,MFA,Energy
Ransomware,Antivirus,Finance
Credential Stuffing,MFA,Finance
DDoS,CDN Scrubbing,Manufacturing
Ransomware,EDR,Technology
Phishing,MFA,Energy
Supply Chain Compromise,EDR,Manufacturing
Phishing,Email Filtering,Utilities
Malware,IDS,Technology
Credential Stuffing,SIEM,Manufacturing
Malware,Antivirus,Healthcare
SQL Injection,WAF,Finance
Phishing,MFA,Transportation
Malware,SIEM,Retail
Malware,Antivirus,Finance
Ransomware,Antivirus,Transportation
DDoS,WAF,Healthcare
Insider Threat,IDS,Technology
Brute Force,MFA,Government
Malware,SIEM,Finance
Malware,IDS,Healthcare
DDoS,Firewall,Government
Zero-Day Exploit,EDR,Healthcare
Phishing,Email Filtering,Finance
Zero-Day Exploit,IDS,Energy
Ransomware,Offline Backups,Healthcare
Zero-Day Exploit,SIEM,Government
Ransomware,EDR,Energy
Cross-Site Scripting,Content Security Policy,Healthcare
Credential Stuffing,MFA,Manufacturing
Malware,IDS,Energy
Phishing,MFA,Technology
Malware,Antivirus,Healthcare
Zero-Day Exploit,IDS,Manufacturing
Brute Force,MFA,Manufacturing
Brute Force,MFA,Finance
Phishing,SIEM,Energy
Credential Stuffing,Account Lockout,Finance
Business Email Compromise,SIEM,Healthcare
SQL Injection,WAF,Education
DDoS,CDN Scrubbing,Technology
Business Email Compromise,Email Filtering,Manufacturing
Ransomware,Antivirus,Transportation
Credential Stuffing,IDS,Technology
Ransomware,SIEM,Technology
Ransomware,EDR,Energy
Phishing,MFA,Healthcare
Business Email Compromise,SIEM,Finance
Phishing,Email Filtering,Energy
DDoS,CDN Scrubbing,Healthcare
Credential Stuffing,MFA,Education
Phishing,Email Filtering,Manufacturing
Ransomware,Antivirus,Energy
Malware,Antivirus,Technology
SQL Injection,WAF,Finance
Phishing,Email Filtering,Finance
Ransomware,Offline Backups,Healthcare
Phishing,Email Filtering,Manufacturing
Supply Chain Compromise,SIEM,Retail
Brute Force,Account Lockout,Energy
Supply Chain Compromise,Offline Backups,Manufacturing
Ransomware,EDR,Government
Credential Stuffing,SIEM,Healthcare
Phishing,IDS,Finance
Cross-Site Scripting,Content Security Policy,Finance
Cross-Site Scripting,WAF,Government
Credential Stuffing,IDS,Finance
Supply Chain Compromise,IDS,Manufacturing
Malware,Antivirus,Healthcare
Phishing,Email Filtering,Technology
Phishing,Email Filtering,Finance
Phishing,Email Filtering,Manufacturing
SQL Injection,Database Firewall,Healthcare
Malware,Antivirus,Manufacturing
Phishing,MFA,Healthcare
Ransomware,EDR,Finance
Cross-Site Scripting,WAF,Transportation
Phishing,MFA,Manufacturing
Malware,Antivirus,Manufacturing
Phishing,DMARC,Technology
Ransomware,EDR,Finance
Phishing,DMARC,Finance
SQL Injection,Database Firewall,Healthcare
Ransomware,EDR,Manufacturing
Phishing,Email Filtering,Education
Phishing,Email Filtering,Finance
Credential Stuffing,Account Lockout,Government
Supply Chain Compromise,SIEM,Technology
Cross-Site Scripting,WAF,Energy
Ransomware,SIEM,Government
Phishing,MFA,Manufacturing
Cross-Site Scripting,Content Security Policy,Manufacturing
Credential Stuffing,MFA,Manufacturing
Malware,EDR,Energy
DDoS,DDoS Mitigation,Healthcare
Malware,Antivirus,Technology
Credential Stuffing,Account Lockout,Finance
Zero-Day Exploit,SIEM,Retail
Credential Stuffing,MFA,Technology
DDoS,DDoS Mitigation,Technology
Ransomware,Offline Backups,Healthcare
Brute Force,MFA,Manufacturing
Credential Stuffing,Account Lockout,Manufacturing
Ransomware,Offline Backups,Education
Malware,EDR,Utilities
Ransomware,EDR,Energy
SQL Injection,WAF,Healthcare
Brute Force,SIEM,Manufacturing
Business Email Compromise,MFA,Finance
Malware,EDR,Manufacturing
Ransomware,EDR,Education
DDoS,WAF,Government
Brute Force,Account Lockout,Utilities
Ransomware,Offline Backups,Energy
Phishing,Email Filtering,Technology
Phishing,Email Filtering,Healthcare
Phishing,MFA,Energy
Ransomware,EDR,Finance
Phishing,MFA,Education
SQL Injection,WAF,Healthcare
Phishing,MFA,Finance
DDoS,Firewall,Technology
Phishing,MFA,Manufacturing
Phishing,MFA,Finance
Phishing,MFA,Manufacturing
Zero-Day Exploit,SIEM,Technology
Ransomware,EDR,Finance
Credential Stuffing,MFA,Manufacturing
Business Email Compromise,DMARC,Government
Phishing,MFA,Manufacturing
Business Email Compromise,DMARC,Government
Cross-Site Scripting,SIEM,Manufacturing
Credential Stuffing,IDS,Retail
Business Email Compromise,DMARC,Technology
Business Email Compromise,SIEM,Government
Zero-Day Exploit,EDR,Finance
Cross-Site Scripting,Content Security Policy,Technology
Phishing,Email Filtering,Retail
Malware,IDS,Technology
Brute Force,Account Lockout,Technology
Phishing,Email Filtering,Technology
DDoS,CDN Scrubbing,Retail
Business Email Compromise,Email Filtering,Finance
DDoS,CDN Scrubbing,Education
Malware,Antivirus,Manufacturing
SQL Injection,Database Firewall,Manufacturing
Malware,Antivirus,Finance
Ransomware,Antivirus,Retail
Phishing,Email Filtering,Manufacturing
Credential Stuffing,Account Lockout,Healthcare
Cross-Site Scripting,WAF,Utilities
Brute Force,Account Lockout,Healthcare
Malware,SIEM,Technology
Credential Stuffing,MFA,Healthcare
Ransomware,EDR,Manufacturing
Ransomware,Antivirus,Healthcare
Phishing,DMARC,Manufacturing
Phishing,Email Filtering,Technology
Phishing,DMARC,Healthcare
Ransomware,Antivirus,Technology
Phishing,Email Filtering,Healthcare
DDoS,Firewall,Education
Business Email Compromise,Email Filtering,Healthcare
Malware,Antivirus,Manufacturing
Malware,EDR,Government
SQL Injection,WAF,Energy
Ransomware,Antivirus,Finance
Malware,EDR,Healthcare
Credential Stuffing,MFA,Energy
Phishing,IDS,Retail
Brute Force,MFA,Technology
Malware,EDR,Technology
Cross-Site Scripting,Content Security Policy,Manufacturing
Ransomware,Offline Backups,Manufacturing
Brute Force,Account Lockout,Manufacturing
Malware,Antivirus,Healthcare
Ransomware,Antivirus,Education
Phishing,DMARC,Energy
SQL Injection,WAF,Manufacturing
DDoS,Firewall,Manufacturing
Brute Force,Account Lockout,Finance
Phishing,MFA,Technology
Phishing,DMARC,Energy
Phishing,Email Filtering,Utilities
Ransomware,Offline Backups,Finance
Malware,SIEM,Manufacturing
Credential Stuffing,Account Lockout,Education
Phishing,MFA,Technology
Phishing,MFA,Technology
Brute Force,Account Lockout,Retail
DDoS,DDoS Mitigation,Technology
Phishing,SIEM,Healthcare
DDoS,WAF,Government
Phishing,MFA,Manufacturing
Ransomware,Offline Backups,Manufacturing
Credential Stuffing,MFA,Finance
Zero-Day Exploit,EDR,Manufacturing
Malware,Antivirus,Government
Phishing,MFA,Utilities
Phishing,Email Filtering,Transportation
DDoS,DDoS Mitigation,Manufacturing
Ransomware,EDR,Transportation
DDoS,CDN Scrubbing,Manufacturing
Phishing,MFA,Technology
Phishing,Email Filtering,Manufacturing
Phishing,MFA,Energy
Business Email Compromise,MFA,Healthcare
Business Email Compromise,SIEM,Retail
Cross-Site Scripting,WAF,Government
Phishing,Email Filtering,Technology
Phishing,MFA,Government
SQL Injection,Database Firewall,Healthcare
SQL Injection,WAF,Manufacturing
Credential Stuffing,SIEM,Technology
Credential Stuffing,MFA,Retail
Zero-Day Exploit,SIEM,Manufacturing
Phishing,DMARC,Energy
Malware,EDR,Healthcare
Cross-Site Scripting,Content Security Policy,Retail
Phishing,Email Filtering,Manufacturing
Ransomware,Antivirus,Technology
DDoS,CDN Scrubbing,Technology
Supply Chain Compromise,SIEM,Technology
Credential Stuffing,Account Lockout,Healthcare
Ransomware,Antivirus,Finance
Ransomware,EDR,Healthcare
DDoS,Firewall,Manufacturing
Supply Chain Compromise,IDS,Manufacturing
Brute Force,MFA,Education
SQL Injection,Database Firewall,Manufacturing
DDoS,Firewall,Technology
Credential Stuffing,MFA,Healthcare
Malware,Antivirus,Finance
Phishing,IDS,Healthcare
Business Email Compromise,Email Filtering,Healthcare
Phishing,DMARC,Transportation
Ransomware,Antivirus,Utilities
Zero-Day Exploit,IDS,Manufacturing
SQL Injection,WAF,Retail
DDoS,DDoS Mitigation,Education
Ransomware,SIEM,Utilities
Brute Force,MFA,Healthcare
Phishing,MFA,Government
Business Email Compromise,Email Filtering,Healthcare
Brute Force,Account Lockout,Retail
Zero-Day Exploit,Firewall,Finance
Phishing,Email Filtering,Retail
Cross-Site Scripting,Content Security Policy,Education
Phishing,Email Filtering,Manufacturing
Cross-Site Scripting,Content Security Policy,Healthcare
Credential Stuffing,Account Lockout,Finance
Phishing,Email Filtering,Technology
Phishing,Email Filtering,Finance
Business Email Compromise,SIEM,Government
Phishing,Email Filtering,Retail
Ransomware,Antivirus,Government
SQL Injection,WAF,Manufacturing
Phishing,SIEM,Manufacturing
Malware,Antivirus,Education
DDoS,Firewall,Technology
Ransomware,EDR,Retail
Phishing,DMARC,Manufacturing
Business Email Compromise,DMARC,Retail
Ransomware,EDR,Manufacturing
SQL Injection,Database Firewall,Government
Phishing,Email Filtering,Manufacturing
Malware,EDR,Manufacturing
Zero-Day Exploit,Firewall,Healthcare
Ransomware,EDR,Healthcare
Supply Chain Compromise,SIEM,Utilities
Ransomware,EDR,Technology
Phishing,Email Filtering,Technology
Zero-Day Exploit,SIEM,Manufacturing
Malware,EDR,Finance
Phishing,MFA,Manufacturing
Credential Stuffing,Account Lockout,Retail
SQL Injection,Database Firewall,Utilities
Cross-Site Scripting,WAF,Healthcare
Cross-Site Scripting,WAF,Energy
Business Email Compromise,SIEM,Transportation
Phishing,DMARC,Transportation
Malware,Antivirus,Government
Insider Threat,SIEM,Energy
Credential Stuffing,SIEM,Technology
Supply Chain Compromise,SIEM,Finance
Phishing,DMARC,Retail
Ransomware,Antivirus,Healthcare
Business Email Compromise,Email Filtering,Healthcare
Phishing,Email Filtering,Technology
Ransomware,EDR,Manufacturing
Business Email Compromise,MFA,Technology
DDoS,DDoS Mitigation,Government
DDoS,DDoS Mitigation,Retail
Credential Stuffing,MFA,Retail
DDoS,DDoS Mitigation,Finance
Ransomware,Offline Backups,Manufacturing
Phishing,Email Filtering,Manufacturing
Phishing,MFA,Manufacturing
Zero-Day Exploit,EDR,Education
Zero-Day Exploit,SIEM,Energy
Phishing,MFA,Finance
Phishing,Email Filtering,Technology
Phishing,Email Filtering,Transportation
Phishing,Email Filtering,Manufacturing
Malware,Antivirus,Manufacturing
Phishing,DMARC,Retail
Supply Chain Compromise,SIEM,Finance
Credential Stuffing,Account Lockout,Utilities
Business Email Compromise,DMARC,Energy
DDoS,WAF,Transportation
Credential Stuffing,Account Lockout,Government
DDoS,CDN Scrubbing,Education
Phishing,MFA,Retail
Cross-Site Scripting,Content Security Policy,Finance
Malware,Antivirus,Finance
SQL Injection,WAF,Education
DDoS,DDoS Mitigation,Manufacturing
Ransomware,EDR,Finance
Brute Force,Account Lockout,Technology
DDoS,Firewall,Retail
Ransomware,Antivirus,Finance
Malware,Antivirus,Technology
Brute Force,MFA,Retail
Malware,Antivirus,Finance
Malware,Antivirus,Manufacturing
Phishing,MFA,Retail
Ransomware,Antivirus,Manufacturing
Brute Force,MFA,Energy
Brute Force,MFA,Education
Credential Stuffing,Account Lockout,Manufacturing
Brute Force,MFA,Healthcare
Brute Force,Account Lockout,Manufacturing
Phishing,Email Filtering,Government
SQL Injection,WAF,Manufacturing
SQL Injection,WAF,Finance
SQL Injection,Database Firewall,Technology
Credential Stuffing,SIEM,Government
Phishing,DMARC,Retail
DDoS,DDoS Mitigation,Finance
Malware,EDR,Finance
DDoS,CDN Scrubbing,Government
Phishing,DMARC,Technology
SQL Injection,Database Firewall,Technology
SQL Injection,Database Firewall,Manufacturing
Ransomware,Antivirus,Healthcare
DDoS,Firewall,Technology
Ransomware,EDR,Finance
SQL Injection,WAF,Retail
Business Email Compromise,DMARC,Transportation
Phishing,SIEM,Healthcare
Ransomware,Offline Backups,Finance
Ransomware,EDR,Government
Phishing,MFA,Healthcare
Phishing,SIEM,Finance
Credential Stuffing,MFA,Technology
SQL Injection,WAF,Technology
SQL Injection,WAF,Manufacturing
Zero-Day Exploit,IDS,Manufacturing
Phishing,Email Filtering,Healthcare
Ransomware,EDR,Education
Malware,Antivirus,Manufacturing
Phishing,MFA,Manufacturing
Credential Stuffing,MFA,Retail
Ransomware,EDR,Transportation
Credential Stuffing,Account Lockout,Manufacturing
Phishing,SIEM,Government
DDoS,WAF,Manufacturing
Brute Force,Account Lockout,Manufacturing
Credential Stuffing,Account Lockout,Transportation
Phishing,DMARC,Retail
Business Email Compromise,Email Filtering,Finance
Malware,Antivirus,Manufacturing
Zero-Day Exploit,EDR,Finance
DDoS,CDN Scrubbing,Manufacturing
Business Email Compromise,Email Filtering,Technology
Brute Force,MFA,Retail
Business Email Compromise,DMARC,Finance
Phishing,Email Filtering,Retail
SQL Injection,WAF,Manufacturing
Business Email Compromise,Email Filtering,Government
Zero-Day Exploit,IDS,Transportation
Insider Threat,Account Lockout,Education
Malware,EDR,Manufacturing
Credential Stuffing,MFA,Manufacturing
Brute Force,SIEM,Finance
Ransomware,Offline Backups,Finance
Phishing,MFA,Energy
Brute Force,MFA,Technology
DDoS,CDN Scrubbing,Finance
Supply Chain Compromise,SIEM,Healthcare
Malware,SIEM,Transportation
Brute Force,MFA,Manufacturing
Credential Stuffing,IDS,Education
Phishing,Email Filtering,Education
SQL Injection,WAF,Manufacturing
Brute Force,MFA,Government
Business Email Compromise,Email Filtering,Healthcare
SQL Injection,SIEM,Healthcare
Business Email Compromise,Email Filtering,Technology
SQL Injection,WAF,Education
Phishing,MFA,Technology
Cross-Site Scripting,WAF,Healthcare
Phishing,SIEM,Finance
Phishing,Email Filtering,Technology
Phishing,MFA,Manufacturing
Phishing,MFA,Manufacturing
Brute Force,Account Lockout,Manufacturing
SQL Injection,Database Firewall,Finance
Ransomware,EDR,Retail
Cross-Site Scripting,Content Security Policy,Retail
Phishing,Email Filtering,Healthcare
Supply Chain Compromise,EDR,Energy
DDoS,DDoS Mitigation,Technology
Business Email Compromise,Email Filtering,Manufacturing
SQL Injection,WAF,Education
Malware,EDR,Retail
Credential Stuffing,MFA,Finance
Ransomware,Antivirus,Manufacturing
Zero-Day Exploit,EDR,Manufacturing
DDoS,DDoS Mitigation,Finance
Credential Stuffing,MFA,Education
Ransomware,Offline Backups,Retail
Ransomware,Offline Backups,Manufacturing
Credential Stuffing,Account Lockout,Retail
Phishing,MFA,Healthcare
Ransomware,SIEM,Manufacturing
Credential Stuffing,IDS,Energy
Malware,EDR,Finance
DDoS,DDoS Mitigation,Government
SQL Injection,Database Firewall,Manufacturing
Ransomware,Antivirus,Manufacturing
Credential Stuffing,Account Lockout,Finance
Phishing,Email Filtering,Finance
Credential Stuffing,SIEM,Finance
Phishing,Email Filtering,Government
DDoS,Firewall,Retail
Credential Stuffing,Account Lockout,Retail
Business Email Compromise,MFA,Manufacturing
Malware,SIEM,Technology
Phishing,Email Filtering,Finance
Credential Stuffing,MFA,Finance
Ransomware,EDR,Healthcare
Phishing,Email Filtering,Transportation
Ransomware,EDR,Manufacturing
Credential Stuffing,Account Lockout,Utilities
Ransomware,EDR,Government
Supply Chain Compromise,EDR,Finance
Credential Stuffing,MFA,Manufacturing
Ransomware,Offline Backups,Finance
Phishing,Email Filtering,Manufacturing
Ransomware,Offline Backups,Transportation
Credential Stuffing,MFA,Healthcare
Ransomware,EDR,Technology
DDoS,Firewall,Retail
DDoS,WAF,Manufacturing
Ransomware,Offline Backups,Finance
Brute Force,MFA,Retail
Credential Stuffing,IDS,Healthcare
Ransomware,Antivirus,Manufacturing
Malware,Antivirus,Technology
Supply Chain Compromise,IDS,Finance
Cross-Site Scripting,Content Security Policy,Technology
SQL Injection,WAF,Healthcare
Ransomware,Antivirus,Technology
Brute Force,MFA,Healthcare
DDoS,CDN Scrubbing,Healthcare
Supply Chain Compromise,SIEM,Technology
Supply Chain Compromise,IDS,Technology
SQL Injection,WAF,Technology
SQL Injection,WAF,Manufacturing
Credential Stuffing,MFA,Retail
DDoS,CDN Scrubbing,Manufacturing
Credential Stuffing,Account Lockout,Healthcare
DDoS,Firewall,Energy
Malware,Antivirus,Utilities
Brute Force,Account Lockout,Utilities
Malware,Antivirus,Finance
Ransomware,EDR,Healthcare
Credential Stuffing,MFA,Energy
Credential Stuffing,Account Lockout,Retail
Cross-Site Scripting,SIEM,Utilities
Brute Force,Account Lockout,Finance
Brute Force,Account Lockout,Finance
Supply Chain Compromise,SIEM,Manufacturing
Malware,Antivirus,Manufacturing
Malware,Antivirus,Retail
Ransomware,EDR,Utilities
SQL Injection,Database Firewall,Technology
Cross-Site Scripting,Content Security Policy,Manufacturing
SQL Injection,SIEM,Technology
Phishing,Email Filtering,Manufacturing
Malware,IDS,Transportation
Brute Force,Account Lockout,Manufacturing
DDoS,DDoS Mitigation,Manufacturing
Insider Threat,SIEM,Technology
Phishing,MFA,Finance
Cross-Site Scripting,WAF,Retail
Phishing,IDS,Technology
Phishing,Email Filtering,Education
DDoS,DDoS Mitigation,Finance
Phishing,MFA,Manufacturing
Credential Stuffing,MFA,Manufacturing
Cross-Site Scripting,WAF,Technology
Zero-Day Exploit,EDR,Technology
Phishing,Email Filtering,Technology
DDoS,DDoS Mitigation,Manufacturing
Ransomware,Antivirus,Manufacturing
Credential Stuffing,Account Lockout,Manufacturing
Phishing,Email Filtering,Government
Malware,EDR,Finance
Cross-Site Scripting,WAF,Manufacturing
Insider Threat,SIEM,Technology
Phishing,MFA,Transportation
DDoS,WAF,Manufacturing
Malware,Antivirus,Manufacturing
Ransomware,EDR,Technology
Ransomware,EDR,Healthcare
Ransomware,EDR,Manufacturing
Business Email Compromise,Email Filtering,Utilities
Business Email Compromise,Email Filtering,Government
SQL Injection,Database Firewall,Government
DDoS,DDoS Mitigation,Transportation
Phishing,Email Filtering,Manufacturing
Ransomware,EDR,Education
Credential Stuffing,MFA,Utilities
Phishing,Email Filtering,Finance
Credential Stuffing,MFA,Education
Credential Stuffing,MFA,Energy
Business Email Compromise,DMARC,Healthcare
Malware,Antivirus,Healthcare
Phishing,DMARC,Retail
Phishing,MFA,Finance
Phishing,MFA,Technology
Business Email Compromise,Email Filtering,Manufacturing
Brute Force,Account Lockout,Manufacturing
Phishing,MFA,Manufacturing
DDoS,Firewall,Technology
DDoS,DDoS Mitigation,Manufacturing
Malware,Antivirus,Manufacturing
Malware,Antivirus,Transportation
Phishing,MFA,Technology
Credential Stuffing,MFA,Transportation
Phishing,DMARC,Manufacturing
Ransomware,Offline Backups,Technology
Business Email Compromise,DMARC,Retail
SQL Injection,WAF,Utilities
SQL Injection,SIEM,Retail
Ransomware,Antivirus,Education
Ransomware,EDR,Manufacturing
Phishing,Email Filtering,Healthcare
Cross-Site Scripting,Content Security Policy,Education
Brute Force,Account Lockout,Finance
Phishing,Email Filtering,Manufacturing
Malware,SIEM,Manufacturing
Phishing,Email Filtering,Government
Phishing,DMARC,Manufacturing
Credential Stuffing,MFA,Finance
DDoS,Firewall,Manufacturing
SQL Injection,WAF,Healthcare
Ransomware,Offline Backups,Technology
Phishing,MFA,Manufacturing
Ransomware,EDR,Retail
Ransomware,Antivirus,Manufacturing
Phishing,IDS,Government
Cross-Site Scripting,Content Security Policy,Finance
Ransomware,EDR,Healthcare
DDoS,Firewall,Finance
Business Email Compromise,MFA,Technology
Credential Stuffing,MFA,Manufacturing
Cross-Site Scripting,WAF,Healthcare
SQL Injection,WAF,Finance
Cross-Site Scripting,SIEM,Manufacturing
Brute Force,MFA,Government
Ransomware,EDR,Technology
Supply Chain Compromise,EDR,Healthcare
Credential Stuffing,IDS,Manufacturing
Malware,Antivirus,Manufacturing
Credential Stuffing,MFA,Healthcare
Ransomware,EDR,Technology
Phishing,MFA,Manufacturing
Credential Stuffing,SIEM,Finance
Ransomware,EDR,Manufacturing
Ransomware,EDR,Transportation
Phishing,MFA,Finance
Malware,Antivirus,Government
Phishing,Email Filtering,Technology
Phishing,MFA,Healthcare
SQL Injection,WAF,Technology
Business Email Compromise,MFA,Technology
DDoS,DDoS Mitigation,Retail
Cross-Site Scripting,WAF,Education
Brute Force,Account Lockout,Healthcare
Cross-Site Scripting,Content Security Policy,Manufacturing
Insider Threat,Account Lockout,Retail
DDoS,Firewall,Manufacturing
Phishing,MFA,Government
Phishing,Email Filtering,Government
SQL Injection,SIEM,Energy
Phishing,Email Filtering,Manufacturing
DDoS,DDoS Mitigation,Healthcare
Credential Stuffing,Account Lockout,Finance
Ransomware,Antivirus,Healthcare
Phishing,Email Filtering,Energy
Malware,EDR,Technology
DDoS,DDoS Mitigation,Technology
Malware,Antivirus,Manufacturing
Brute Force,Account Lockout,Finance
SQL Injection,WAF,Healthcare
Malware,Antivirus,Technology
Ransomware,Antivirus,Healthcare
Business Email Compromise,MFA,Finance
DDoS,CDN Scrubbing,Energy
Zero-Day Exploit,SIEM,Manufacturing
Ransomware,Offline Backups,Healthcare
Ransomware,Antivirus,Retail
Ransomware,Antivirus,Retail
Brute Force,Account Lockout,Healthcare
Ransomware,EDR,Healthcare
Ransomware,Antivirus,Government
Ransomware,Antivirus,Finance
Zero-Day Exploit,IDS,Technology
